Observed Predicted
6335.958994 NA
6253.241356 NA
6279.379834 NA
7041.415725 NA
5554.702199 NA
5456.161152 NA
6399.376063 NA
7189.803846 NA
6410.29433 NA
5763.963165 5766.94
6309.71054 NA
6651.042215 NA
6249.130054 NA
5228.69933 5899.73
6000.203674 NA
6491.047123 NA
6024.036302 NA
5846.199905 NA
6785.089008 NA
5080.996885 NA
6524.551854 NA
7098.349445 6145.72
6491.890155 NA
6240.910927 NA
6743.86435 NA
6234.219997 NA
6180.00842 NA
6104.519858 NA
6524.028478 NA
6961.676891 NA
6649.731143 5787.58
6208.097459 NA
5786.803552 NA
6912.080399 NA
6756.65594 NA
6224.585339 NA
6600.264405 5651.42
5135.778423 NA
5615.737795 NA
5104.371859 5737.71
5454.747493 NA
6523.439426 NA
6396.575995 5621.79
6098.939569 NA
4961.042941 NA
5720.981703 NA
5277.99186 NA
6717.164202 5645.23
6640.032293 NA
6447.373114 NA
6017.618978 NA
4662.59637 NA
4981.43516 5526.03
5110.426727 NA
5372.018789 NA
5247.834297 NA
5659.275962 NA
5631.323987 5535.54
4856.636112 NA
4623.035076 5644.64
4848.827844 NA
5171.061067 5737.05
6577.213063 NA
5432.232111 NA
5162.768108 NA
6433.51826 5704.76
4882.136076 NA
6529.822669 NA
5109.489877 NA
5934.230832 NA
5047.7299 NA
5190.942698 NA
5129.065896 NA
5639.107591 5797.93
6293.912262 NA
5157.248338 5767.03
5250.438888 NA
4831.10133 NA
5240.228701 NA
5759.432166 NA
5386.893819 NA
5397.772183 NA
5717.644531 NA
5200.121165 5758.23
5056.827711 NA
4747.969561 NA
5112.434635 NA
5510.962073 5751.85
5007.902917 5708.65
5663.620972 NA
5690.244674 NA
5583.320174 NA
5238.906961 5600.7
4735.181107 NA
5802.663876 5799.87
5008.433261 5541.91
6194.509098 NA
6089.783016 5818.05
6671.648826 NA
6109.938606 NA
6366.52302 NA
5952.160777 NA
6323.678108 NA
6278.215775 NA
6248.127745 5635.12
4737.929166 NA
6265.978392 NA
6880.282592 NA
5259.185299 NA
4987.386074 5758.64
5408.238092 NA
5638.20929 5661.56
4956.38448 NA
5416.372752 5782.33
5161.327115 NA
4971.155915 5624.95
6008.971685 NA
5178.585199 NA
5532.153057 NA
5958.075825 NA
5401.830191 NA
6122.106357 NA
4888.441015 NA
5988.178526 NA
5880.09421 5445.74
5676.268604 NA
5643.803579 NA
5128.941506 NA
6141.791025 NA
6104.511829 NA
5994.372063 NA
5377.690053 NA
5107.827709 5651.69
4821.706402 NA
5948.815398 NA
4574.899332 NA
6669.235513 NA
5051.172613 5656.83
4911.814645 5540.2
5125.739544 NA
4932.433892 NA
6334.609987 NA
6778.304223 NA
4741.278737 NA
5721.724627 NA
6222.94058 5589.03
5313.881231 5721.15
4747.187333 NA
4758.441352 NA
5244.573991 6309.38
4923.540789 NA
5156.753778 NA
