ID NSeg NHet
MS10S3042-007 162 22
MS10S3042-008 162 14
MS10S3042-009 162 39
MS10S3042-010 162 22
MS10S3042-011 162 30
MS10S3042-012 162 25
MS10S3042-013 162 50
MS10S3042-014 162 33
MS10S3042-015 162 66
MS10S3042-016 162 11
MS10S3042-017 162 56
MS10S3042-018 162 44
MS10S3042-019 162 55
MS10S3042-020 162 36
MS10S3042-021 162 20
MS10S3042-022 162 37
MS10S3042-023 162 39
MS10S3042-024 162 67
MS10S3043-001 121 12
MS10S3043-002 121 32
MS10S3043-003 121 27
MS10S3043-004 121 17
MS10S3043-005 121 28
MS10S3043-006 121 18
MS10S3043-007 121 36
MS10S3043-008 121 9
MS10S3043-009 121 17
MS10S3043-010 121 14
MS10S3043-011 121 25
MS10S3043-012 121 16
MS10S3043-013 121 19
MS10S3043-014 121 14
MS10S3043-015 121 41
MS10S3043-016 121 17
MS10S3043-017 121 26
MS10S3043-018 121 13
MS10S3043-019 121 18
MS10S3043-020 121 20
MS10S3043-021 121 35
MS10S3043-022 121 8
MS10S3043-023 121 21
MS10S3043-024 121 12
MS10S3044-001 172 20
MS10S3044-002 172 27
MS10S3044-003 172 24
MS10S3044-004 172 38
MS10S3044-005 172 23
MS10S3044-006 172 36
MS10S3044-007 172 44
MS10S3044-008 172 22
MS10S3044-009 172 59
MS10S3044-010 172 35
MS10S3044-011 172 27
MS10S3044-012 172 31
MS10S3044-013 172 20
MS10S3044-014 172 29
MS10S3044-015 172 28
MS10S3044-016 172 23
MS10S3044-017 172 14
MS10S3044-018 172 27
MS10S3044-019 172 25
MS10S3044-020 172 50
MS10S3044-021 172 30
MS10S3044-022 172 16
MS10S3044-023 172 30
MS10S3044-024 172 7
MS10S3045-001 133 48
MS10S3045-002 133 13
MS10S3045-003 133 37
MS10S3045-004 133 26
MS10S3045-005 133 22
MS10S3045-006 133 13
MS10S3045-007 133 28
MS10S3045-008 133 31
MS10S3045-009 133 18
MS10S3045-010 133 36
MS10S3045-011 133 15
MS10S3045-012 133 30
MS10S3045-013 133 24
MS10S3045-014 133 17
MS10S3045-015 133 15
MS10S3045-016 133 43
MS10S3045-017 133 23
MS10S3045-018 133 31
MS10S3045-019 133 9
MS10S3045-020 133 17
MS10S3045-021 133 11
MS10S3045-022 133 23
MS10S3045-023 133 21
MS10S3045-024 133 28
MS10S3046-001 194 46
MS10S3046-002 194 47
MS10S3046-003 194 36
MS10S3046-004 194 40
MS10S3046-005 194 45
MS10S3046-006 194 39
MS10S3046-007 194 60
MS10S3046-008 194 33
MS10S3046-009 194 47
MS10S3046-010 194 34
MS10S3046-011 194 50
MS10S3046-012 194 43
MS10S3046-013 194 47
MS10S3046-014 194 36
MS10S3046-015 194 52
MS10S3046-016 194 36
MS10S3046-017 194 34
MS10S3046-018 194 20
MS10S3046-019 194 20
MS10S3046-020 194 36
MS10S3046-021 194 58
MS10S3046-022 194 14
MS10S3046-023 194 36
MS10S3046-024 194 27
MS10S3047-001 157 38
MS10S3047-002 157 36
MS10S3047-003 157 30
MS10S3047-004 157 5
MS10S3047-005 157 40
MS10S3047-006 157 27
MS10S3047-007 157 24
MS10S3047-008 157 30
MS10S3047-009 157 40
MS10S3047-010 157 42
MS10S3047-011 157 31
MS10S3047-012 157 41
MS10S3047-013 157 53
MS10S3047-014 157 38
MS10S3047-015 157 49
MS10S3047-016 157 50
MS10S3047-017 157 21
MS10S3047-018 157 62
MS10S3047-019 157 42
MS10S3047-020 157 20
MS10S3047-021 157 16
MS10S3047-022 157 44
MS10S3047-023 157 29
MS10S3047-024 157 39
MS10S3048-001 154 24
MS10S3048-002 154 8
MS10S3048-003 154 30
MS10S3048-004 154 34
MS10S3048-005 154 43
MS10S3048-006 154 56
MS10S3048-007 154 17
MS10S3048-008 154 40
MS10S3048-009 154 44
MS10S3048-010 154 40
MS10S3048-011 154 40
MS10S3048-012 154 28
MS10S3048-013 154 49
MS10S3048-014 154 33
MS10S3048-015 154 26
MS10S3048-016 154 17
MS10S3048-017 154 39
MS10S3048-018 154 39
MS10S3048-019 154 16
MS10S3048-020 154 39
MS10S3048-021 154 36
MS10S3048-022 154 21
MS10S3048-023 154 40
MS10S3048-024 154 59
MS10S3049-001 198 16
MS10S3049-002 198 35
MS10S3049-003 198 43
MS10S3049-004 198 35
MS10S3049-005 198 61
MS10S3049-006 198 34
MS10S3049-007 198 35
MS10S3049-008 198 40
MS10S3049-009 198 17
MS10S3049-010 198 39
MS10S3049-011 198 40
MS10S3049-012 198 59
MS10S3049-013 198 43
MS10S3049-014 198 46
MS10S3049-015 198 31
MS10S3049-016 198 42
MS10S3049-017 198 25
MS10S3049-018 198 37
MS10S3049-019 198 22
MS10S3049-020 198 47
MS10S3049-021 198 38
MS10S3049-022 198 48
MS10S3049-023 198 42
MS10S3049-024 198 44
MS10S3050-001 161 47
MS10S3050-002 161 36
MS10S3050-003 161 36
MS10S3050-004 161 29
MS10S3050-005 161 62
MS10S3050-006 161 48
MS10S3050-007 161 35
MS10S3050-008 161 48
MS10S3050-009 161 33
MS10S3050-010 161 38
MS10S3050-011 161 54
MS10S3050-012 161 23
MS10S3050-013 161 44
MS10S3050-014 161 58
MS10S3050-015 161 58
MS10S3050-016 161 30
MS10S3050-017 161 26
MS10S3050-018 161 31
MS10S3050-019 161 66
MS10S3050-020 161 55
MS10S3050-021 161 49
MS10S3050-022 161 31
MS10S3050-023 161 28
MS10S3050-024 161 22
MS10S3051-001 194 12
MS10S3051-002 194 37
MS10S3051-003 194 18
MS10S3051-004 194 29
MS10S3051-005 194 30
MS10S3051-006 194 52
MS10S3051-007 194 41
MS10S3051-008 194 68
MS10S3051-009 194 41
MS10S3051-010 194 33
MS10S3051-011 194 33
MS10S3051-012 194 51
MS10S3051-013 194 45
MS10S3051-014 194 36
MS10S3051-015 194 35
MS10S3051-016 194 38
MS10S3051-017 194 54
MS10S3051-018 194 53
MS10S3051-019 194 30
MS10S3051-020 194 23
MS10S3051-021 194 61
MS10S3051-022 194 33
MS10S3051-023 194 40
MS10S3051-024 194 45
