Line,Cycle,Type,NC,SY,NS,DE
MS11S2029-023,C2,Ran,59924,16468,13180,221
MS11S2029-024,C2,Sel,60106,16396,13223,225
MS11S2030-002,C2,Ran,58929,16254,12970,246
MS11S2030-005,C2,Ran,59776,16456,13139,230
MS11S2030-006,C2,Sel,62472,17148,13774,257
MS11S2031-023,C2,Sel,60445,16576,13196,226
MS11S2033-020,C2,Ran,58209,16092,12746,215
MS11S2033-024,C2,Sel,61339,17000,13412,218
MS11S2034-002,C2,Ran,61967,16940,13416,224
MS11S2034-010,C2,Ran,58567,16198,12898,205
MS11S2036-009,C2,Ran,63843,17380,13858,259
MS11S2036-015,C2,Ran,60962,16680,13254,209
MS11S2036-017,C2,Ran,63093,17273,13601,256
MS11S2036-019,C2,Sel,63285,17349,13685,245
MS11S2036-023,C2,Ran,63437,17342,13645,249
MS11S2037-011,C2,Ran,62206,16975,13475,215
MS11S2037-022,C2,Ran,58885,16017,12818,191
MS11S2038-011,C2,Ran,60929,16551,13302,189
MS11S2038-016,C2,Ran,60642,16874,13376,201
MS11S2040-020,C2,Sel,60336,16591,13263,221
MS11S2041-015,C2,Ran,62464,16991,13529,232
MS11S2041-017,C2,Ran,62897,17178,13506,239
MS11S2041-020,C2,Ran,59592,16248,12971,187
MS11S2042-003,C2,Ran,60721,16754,13214,219
MS11S2042-013,C2,Ran,61574,17127,13452,209
MS11S2042-017,C2,Ran,61283,17012,13345,226
MS11S2042-019,C2,Ran,61844,17274,13588,218
MS11S2042-021,C2,Ran,60760,16921,13250,216
MS11S2048-001,C2,Ran,62073,16927,13372,217
MS11S2048-005,C2,Ran,61857,16841,13395,206
MS11S2048-014,C2,Ran,59948,16299,13050,211
MS11S2052-001,C2,Sel,62319,17115,13652,251
MS11S2052-008,C2,Sel,60641,16557,13339,245
MS11S2052-009,C2,Sel,62776,17239,13844,263
MS11S2052-010,C2,Sel,62345,17191,13729,221
MS11S2052-011,C2,Sel,58102,16066,12929,214
MS11S2052-012,C2,Sel,57762,16110,12922,215
MS11S2052-019,C2,Sel,62236,17107,13726,260
MS11S2052-022,C2,Sel,59321,16256,13101,235
MS11S2052-024,C2,Sel,61618,17031,13495,243
MS11S2053-001,C2,Ran,63528,17522,13966,230
MS11S2053-015,C2,Sel,62577,17299,13704,216
MS11S2053-017,C2,Ran,63161,17512,14020,220
MS11S2053-018,C2,Sel,61603,17051,13494,198
MS11S2053-023,C2,Sel,62972,17395,13914,224
MS11S2056-011,C2,Ran,57137,15730,12577,159
MS11S2056-022,C2,Ran,60016,16635,13215,181
MS11S2057-011,C2,Ran,59619,16184,12930,232
MS11S2057-012,C2,Ran,59352,16173,12851,226
MS11S2057-016,C2,Sel,62191,16936,13360,233
MS11S2057-023,C2,Sel,59734,16170,12909,212
MS11S2058-003,C2,Ran,61490,16731,13212,217
MS11S2058-004,C2,Sel,61609,16799,13312,218
MS11S2058-010,C2,Sel,62120,16954,13459,222
MS11S2058-012,C2,Sel,63047,17207,13624,243
MS11S2058-014,C2,Sel,61454,17016,13345,212
MS11S2058-019,C2,Sel,61238,16670,13279,200
MS11S2058-021,C2,Sel,60350,16414,13058,222
MS11S2058-022,C2,Sel,62625,17082,13478,236
MS11S2059-001,C2,Ran,59132,16419,13047,172
MS11S2059-018,C2,Ran,60570,16842,13336,172
MS11S2059-022,C2,Ran,61765,17079,13555,185
MS11S2063-020,C2,Sel,59999,16276,13063,224
MS11S2063-024,C2,Ran,57766,15763,12569,224
MS11S2064-004,C2,Sel,61794,16648,13282,267
MS11S2064-005,C2,Sel,60536,16242,12983,234
MS11S2064-006,C2,Sel,59740,16165,13007,264
MS11S2064-007,C2,Ran,62758,17015,13550,258
MS11S2064-008,C2,Sel,61753,16658,13198,260
MS11S2064-009,C2,Sel,60046,16053,12810,251
MS11S2064-016,C2,Sel,61563,16574,13164,246
MS11S2064-018,C2,Sel,59821,16161,12969,227
MS11S2064-020,C2,Ran,61724,16500,13199,268
MS11S2064-021,C2,Ran,61211,16513,13164,230
MS11S2065-002,C2,Ran,55306,15288,12185,158
MS11S2065-022,C2,Sel,58911,16320,12978,188
MS11S2067-014,C2,Ran,59950,16562,13141,191
